产品分类,产品名称,产地,单价,月度销量,上市季节,富硒等级
粮食类,富硒大米,安远县,6元/斤,旺季（10-次年2）180-260万斤，平季（3-9）80-130万斤,全年可购,基础富硒级，优质富硒级
粮食类,富硒玉米,于都县,5元/斤,旺季（7-10）90-150万斤，平季（11-次年6 大棚反季）40-70万斤,7月中旬-8月上旬，9月-10月中下旬,基础富硒级，优质富硒级
粮食类,富硒高山梯田米,崇义县,8元/斤,旺季（11-次年1）70-110万斤，平季（2-10）35-60万斤,10月底-12月,基础富硒级，优质高山富硒级
新鲜蔬菜类,富硒芦笋,兴国县,30元/斤,旺季（3-6）35-60万斤，平季（11-次年2 大棚反季）15-28万斤，7-8月休采 不足8万斤,3月下旬-6月中下旬,基础富硒级，优质有机富硒级
新鲜蔬菜类,富硒莼菜,兴国县,28元/斤,旺季（6-8）22-40万斤，平季（4-5、9）10-18万斤，10-次年3无鲜采 罐装流通 折算大约5-12万斤,6月-7月,基础富硒级，优质富硒级
茶叶类,富硒红茶,上犹县,240元/斤,旺季（3-5春茶、10-11秋茶）12-25万斤，平季（6-9、12-次年2）5-11万斤,（春）3月初-5月，（夏）6月-8月，（秋）10月中下旬-11月,基础富硒级，优质高山富硒级
新鲜蔬菜类,富硒油菜薹,大余县,4元/斤,旺季（2-3）60-100万斤，平季（12、4月上旬）25-45万斤，5-11月仅有腌制,12月-次年4月,基础富硒级，优质富硒级
茶叶类,富硒藤茶,宁都县,180元/斤,旺季（4-7、9-10新茶）7-16万斤，平季（4-9）3-8万斤,干制藤茶密封防潮储存，全年可购,基础富硒级，优质高山富硒级
深加工类,富硒赣南脐橙汁,安远县,14元/斤,旺季（11-次年1）消耗鲜果700-1100万斤 生产橙汁120-200万升，平季（2-10库存加工）消耗鲜果250-450万斤,11月中旬-次年2月,基础富硒级，优质富硒级
畜禽蛋类,富硒咸鸭蛋,兴国县,3元/枚,旺季（4-6、9-12）22-38万枚，平季（1-3、7-8）9-18万枚,（新鲜）5月-11月，（真空灭菌独立包装）全年可购,基础富硒级，优质有机富硒级
畜禽蛋类,富硒板鸭,大余县,80元/只,旺季（11-次年2）4-8万只，平季（3-10）1.2-3万只,（集中上新）11月下旬-次年2月,基础富硒级，优质冬硒富硒级
深加工类,富硒蔬菜蛹虫草饼干,于都县,35元/斤,常规35-65万斤，中秋、春节月份上浮至80-120万斤,（集中上市）4月-7月、9月-11月,基础富硒级，优质富硒级
药食菌菇类,富硒山茶菇,赣县区,15元/斤,鲜菇：旺季（4-6、10-12）12-25万斤，淡季4-10万斤 干菇：6-14万斤，节庆月上浮50%,4月-6月，10月-12月，（烘干）全年可购,基础富硒级，优质有机富硒级
新鲜蔬菜类,富硒番茄,于都县,5元/斤,旺季（5-6）180-280万斤，平季（9-次年1）90-160万斤，淡季（7-8）50-80万斤,4月底-7月，9月-次年1月,基础富硒级，优质富硒级
畜禽蛋类,富硒肉鸽,全南县,28元/只,旺季（3-6、9-12）12-22万，平季（1-2、7、8）5-11万只,全年可购,基础富硒级，优质生态富硒级
畜禽蛋类,富硒黄鸡,宁都县,22元/斤,旺季（9-次年2、4-6）15-28万只，平季（7-8）7-13万只,4月-7月，10月-12月,基础富硒级，优质山林富硒级
药食菌菇类,富硒紫灵芝,瑞金县,180元/斤,旺季（10-次年3）1.8-4.2万斤，平季（4-9）0.7-1.9万斤,10月下旬-12月,基础富硒级，优质林下富硒级
